timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,close
1682174520,27324.59,27318.929329767656,27305.618581883646,27302.978959265532,27320.130094238237,27313.50584281616,27305.4569290857,27326.55
1682174580,27326.55,27319.297996943707,27306.254238608304,27303.34958008022,27320.475070678676,27314.12154721492,27306.086461278417,27321.51
1682174640,27321.51,27319.755425951753,27306.90406906397,27303.732588478615,27320.981303009008,27314.766043583004,27306.730129463576,27322.5
1682174700,27322.5,27320.508936530074,27307.629106301414,27304.158536709045,27321.993477256758,27315.555578692,27307.447771445397,27325.03
1682174760,27325.03,27323.021945597207,27308.84794204936,27304.83736597487,27326.020107942568,27317.28976494646,27308.649819624006,27338.1
1682174820,27338.1,27328.340239083318,27310.904024367388,27305.94561865537,27334.577580956924,27320.59439841212,27310.67335610934,27360.25
1682174880,27360.25,27332.81877635713,27312.855463392687,27307.020506282264,27340.855685717695,27323.601752380415,27312.59557743838,27359.69
1682174940,27359.69,27339.988951163254,27315.66164485698,27308.54029615662,27351.394264288272,27328.17161758192,27315.35692734276,27383.01
1682175000,27383.01,27353.983386711363,27320.5531790627,27311.12849023349,27373.033198216202,27336.61610853716,27320.164498819515,27437.95
1682175060,27437.95,27371.491474324026,27326.792651900192,27314.43672042882,27398.909898662154,27347.379484803532,27326.296871414826,27476.54
1682175120,27476.54,27385.121263706307,27332.396945824185,27317.485986020245,27415.907423996614,27356.573370587877,27331.81071959464,27466.9
1682175180,27466.9,27394.823940319697,27337.22266799122,27320.19706629984,27425.19056799746,27363.993880542654,27336.564809022304,27453.04
1682175240,27453.04,27402.13337741688,27341.573361271574,27322.712924973843,27430.390425998095,27370.301274347064,27340.855992982215,27445.99
1682175300,27445.99,27407.302894928758,27345.44322682071,27325.02506647437,27432.372819498574,27375.533484012678,27344.67811090448,27438.32
1682175360,27438.32,27412.93105279608,27349.49349774788,27327.45856514488,27435.95461462393,27381.00783139632,27348.67896930038,27446.7
1682175420,27446.7,27421.566616682358,27354.448957837965,27330.37699384198,27445.31096096795,27388.113382827374,27353.569205798405,27473.38
1682175480,27473.38,27432.465671442016,27360.185399524446,27333.726653965143,27458.44822072596,27396.55543030219,27359.227668316114,27497.86
1682175540,27497.86,27440.50200409316,27365.326783543467,27336.82652088584,27466.01616554447,27403.645012586636,27364.30579897038,27488.72
1682175600,27488.72,27455.740289222707,27372.60051220173,27341.03339046812,27486.304624158354,27414.685396233814,27371.4769441088,27547.17
1682175660,27547.17,27469.240247905174,27379.706091713662,27345.217522658757,27502.288468118768,27425.112673446598,27378.4872600261,27550.24
1682175720,27550.24,27480.585926775868,27386.46424804512,27349.28637220558,27513.881351089076,27434.616313950704,27385.160700809392,27548.66
1682175780,27548.66,27486.315080093602,27391.83327812331,27352.714444761466,27515.583513316808,27441.237366723726,27390.47557528745,27520.69
1682175840,27520.69,27490.377211508803,27396.749946998378,27355.95515586624,27515.375134987604,27446.892184668053,27395.349082138924,27514.75
1682175900,27514.75,27486.69189557897,27399.46314911844,27358.127652748917,27502.6763512407,27448.25278584744,27398.06402009426,27464.58
1682175960,27464.58,27481.681624781973,27401.5494231537,27359.997499693938,27489.912263430524,27448.511802320714,27400.164254600368,27451.62
1682176020,27451.62,27471.958535527403,27402.032246227554,27361.06994970006,27470.839197572892,27445.827817526813,27400.69193089055,27413.62
1682176080,27413.62,27465.244459023488,27402.949356378453,27362.34775070606,27459.369398179668,27444.222600793983,27401.64361987523,27424.96
1682176140,27424.96,27460.056679162986,27403.98858212332,27363.67939569194,27451.75954863475,27443.04624688675,27402.713673997772,27428.93
1682176200,27428.93,27452.77286785399,27404.191838838382,27364.587207778102,27441.08716147606,27440.432689433925,27402.96294168413,27409.07
1682176260,27409.07,27447.30674387485,27404.604565284848,27365.58566362254,27434.442871107047,27438.438636400548,27403.415767500443,27414.51
1682176320,27414.51,27446.25435189273,27406.01798267345,27367.07275035009,27435.817153330285,27438.5541259082,27404.84809034356,27439.94
1682176380,27439.94,27445.869444479486,27407.51966336651,27368.60249534309,27437.752864997714,27438.93919314603,27406.366204447735,27443.56
1682176440,27443.56,27445.578095268134,27408.972076831848,27370.10704543623,27439.272148748285,27439.315409057876,27407.835372900765,27443.83
1682176500,27443.83,27444.5240816584,27410.14119375857,27371.468904527504,27439.004111561215,27439.229608361118,27409.02614259093,27438.2
1682176560,27438.2,27440.009212850062,27410.25234600823,27372.29792643695,27432.48308367091,27437.20579233334,27409.178842881483,27412.92
