timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,price
1681481520,30640.47,30692.15922012724,30716.270379482798,30726.893534280425,30666.92015372731,30710.544094170353,30716.404766832664,30634.88
1681481580,30634.88,30686.366474394777,30713.683964303484,30725.38786359482,30663.09261529548,30706.010702311094,30713.863795584322,30651.61
1681481640,30651.61,30681.285549481236,30711.168605731345,30723.896106322925,30660.019461471613,30701.76372521024,30711.39070556141,30650.8
1681481700,30650.8,30676.849042412487,30708.73106150209,30722.422784196464,30657.572096103708,30697.799592501757,30708.99224651979,30650.23
1681481760,30650.23,30678.206322067846,30707.835819042004,30721.701328512536,30664.76657207778,30696.918854617004,30708.10431528372,30686.35
1681481820,30686.35,30681.175418915293,30707.481986280327,30721.24710194229,30673.322429058335,30697.07817349262,30707.746891154944,30698.99
1681481880,30698.99,30679.917501927393,30706.077506829115,30720.26955990344,30673.08432179375,30695.177544762417,30706.359562090045,30672.37
1681481940,30672.37,30674.94357308062,30703.63840655595,30718.766168705373,30666.088241345315,30691.325425934538,30703.95722632181,30645.1
1681482000,30645.1,30671.061634069105,30701.403670293712,30717.346245331268,30661.50868100899,30687.975008554957,30701.75380568174,30647.77
1681482060,30647.77,30667.57425777352,30699.21352348196,30715.93232042464,30657.79401075674,30684.796161743037,30699.592872125595,30646.65
1681482120,30646.65,30657.385078091585,30695.094982542683,30713.53867401615,30642.408008067556,30677.984918532034,30695.540210473613,30596.25
1681482180,30596.25,30651.572924078504,30691.959183240975,30711.601900535825,30635.981006050668,30673.270694029572,30692.44843751386,30616.7
1681482240,30616.7,30648.05964921015,30689.360015911334,30709.90946252511,30633.730754538,30669.70987141191,30689.881047807434,30626.98
1681482300,30626.98,30644.481127894418,30686.706015274878,30708.171473274608,30631.050565903497,30666.117573610994,30687.25865377577,30623.01
1681482360,30623.01,30643.970966766643,30684.874174663884,30706.82624380911,30633.515424427624,30664.178529487068,30685.441059510056,30640.91
1681482420,30640.91,30643.933685799977,30683.227607677327,30705.563918932927,30636.064068320717,30662.604027218833,30683.804547372405,30643.71
1681482480,30643.71,30645.671730685695,30682.142503370233,30704.57464055427,30641.073051240535,30662.10371743277,30682.718094534273,30656.1
1681482540,30656.1,30644.47576915917,30680.34880323542,30703.229147743186,30640.129788430404,30660.19573916871,30680.936992787832,30637.3
1681482600,30637.3,30643.04065927929,30678.51205110601,30701.85316478832,30638.704841322804,30658.213759232658,30679.113189149095,30634.43
1681482660,30634.43,30641.66342223939,30676.707569061768,30700.48410149255,30637.378630992105,30656.305008522453,30677.32051506482,30633.4
1681482720,30633.4,30635.325790490904,30673.5312662993,30698.420419462702,30627.358973244078,30651.766161713032,30674.182455650516,30597.3
1681482780,30597.3,30627.117820420775,30669.70481564733,30696.00941107345,30614.986729933058,30646.08184158126,30670.4054966054,30577.87
1681482840,30577.87,30625.259560360664,30667.481023021435,30694.371422851986,30614.767547449792,30643.62246915193,30668.197830071855,30614.11
1681482900,30614.11,30624.00248030914,30665.440182100578,30692.813194394945,30615.190660587345,30641.53304844794,30666.16889555923,30616.46
1681482960,30616.46,30621.559268836405,30663.098574816555,30691.094930507043,30613.11799544051,30638.8689677981,30663.844625145142,30606.9
1681483020,30606.9,30624.42080185978,30662.238231823892,30690.104831896904,30620.23599658038,30639.078277967477,30662.971894747294,30641.59
1681483080,30641.59,30627.31925873695,30661.537102550934,30689.196935258966,30626.354497435284,30639.511487354597,30662.255742012105,30644.71
1681483140,30644.71,30630.929364631673,30661.179218448895,30688.464796553788,30632.913373076462,30640.517526788863,30661.876693305745,30652.59
1681483200,30652.59,30634.248026827147,30660.898449710938,30687.77870062271,30638.22502980735,30641.5669478051,30661.574077881993,30654.16
1681483260,30654.16,30635.966880137556,30660.3137117225,30686.94872661026,30640.23877235551,30641.929490281625,30660.974310121914,30646.28
1681483320,30646.28,30634.234468689334,30658.854763253603,30685.686552078052,30636.13907926663,30640.537991029196,30659.51806266615,30623.84
1681483380,30623.84,30633.06811601943,30657.543372723456,30684.49422103649,30633.62180944997,30639.425068642337,30658.20637393414,30626.07
1681483440,30626.07,30633.014099445227,30656.549237814517,30683.458136615758,30633.388857087477,30638.90698643908,30657.205731819075,30632.69
1681483500,30632.69,30632.843513810196,30655.560068301937,30682.42537388344,30632.99664281561,30638.361833636074,30656.21021292421,30631.82
1681483560,30631.82,30632.278726123022,30654.493265569858,30681.354666405772,30631.969982111706,30637.633231048687,30655.13883202522,30628.89
1681483620,30628.89,30635.980336676876,30654.64113494706,30680.891373077655,30638.52498658378,30639.214520968017,30655.25848567129,30658.19
1681483680,30658.19,30639.353145723035,30654.83908954918,30680.465345616103,30643.791239937833,30640.78186550894,30655.428348978297,30659.59
1681483740,30659.59,30640.722696334033,30654.603125967213,30679.834838703777,30645.078429953377,30641.409414315945,30655.173903920324,30648.94
1681483800,30648.94,30642.585168286314,30654.56940092852,30679.313341929705,30647.248822465033,30642.359459368567,30655.11845670776,30653.76
