timestamp,-1min,-2min,-3min,-4min,-5min,-6min,-7min,-8min,-9min,-10min,-11min,-12min,-13min,-14min,-15min,-16min,-17min,-18min,-19min,-20min,-21min,-22min,-23min,-24min,-25min,-26min,-27min,-28min,-29min,-30min,-31min,-32min,-33min,-34min,-35min,-36min,-37min,-38min,-39min,-40min,-41min,-42min,-43min,-44min,-45min,-46min,-47min,-48min,-49min,-50min,MA7,MA25,MA50,price
1680842700,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,28068.079999999998,28055.141999999996,,28072.58
1680842760,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,28069.397142857142,28056.751599999992,,28069.09
1680842820,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,28070.01714285714,28058.25039999999,,28069.97
1680842880,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,28070.588571428572,28059.71679999999,,28066.02
1680842940,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,28070.16285714286,28061.07959999999,,28060.99
1680843000,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,28068.78714285715,28062.90519999999,,28041.09
1680843060,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,28064.485714285714,28063.475999999988,,28018.23
1680843120,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,28056.852857142854,28062.7368,,28023.48
1680843180,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,28049.838571428572,28061.3828,,28024.37
1680843240,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,28043.45,28060.105999999996,,28024.34
1680843300,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,28036.931428571428,28058.666799999995,,28026.77
1680843360,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,28031.324285714283,28057.3196,,28032.01
1680843420,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,28027.184285714287,28056.031600000002,,28029.17
1680843480,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,28025.48142857143,28054.542,,28029.55
1680843540,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,28027.09857142857,28053.0196,,28032.07
1680843600,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,28028.32571428571,28051.6204,,28030.3
1680843660,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,28029.172857142858,28050.287599999996,28047.108200000002,28032.01
1680843720,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28030.268571428573,28048.9416,28047.020400000005,28029.47
1680843780,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28030.65428571429,28047.5228,28046.869200000005,28029.56
