timestamp,-1min,-2min,-3min,-4min,-5min,-6min,-7min,MA7,price
1680835500,28000.41,27997.24,27977.05,27975.39,27973.97,27974.07,27975.73,27981.980000000003,27990.6
1680835560,27990.6,28000.41,27997.24,27977.05,27975.39,27973.97,27974.07,27984.104285714286,27997.15
1680835620,27997.15,27990.6,28000.41,27997.24,27977.05,27975.39,27973.97,27987.401428571433,27995.75
1680835680,27995.75,27997.15,27990.6,28000.41,27997.24,27977.05,27975.39,27990.512857142854,27990.13
1680835740,27990.13,27995.75,27997.15,27990.6,28000.41,27997.24,27977.05,27992.61857142857,27983.19
1680835800,27983.19,27990.13,27995.75,27997.15,27990.6,28000.41,27997.24,27993.495714285713,27999.01
1680835860,27999.01,27983.19,27990.13,27995.75,27997.15,27990.6,28000.41,27993.748571428576,28024.26
1680835920,28024.26,27999.01,27983.19,27990.13,27995.75,27997.15,27990.6,27997.155714285713,28026.98
1680835980,28026.98,28024.26,27999.01,27983.19,27990.13,27995.75,27997.15,28002.352857142858,28035.95
1680836040,28035.95,28026.98,28024.26,27999.01,27983.19,27990.13,27995.75,28007.895714285714,28039.42
1680836100,28039.42,28035.95,28026.98,28024.26,27999.01,27983.19,27990.13,28014.134285714284,28042.03
1680836160,28042.03,28039.42,28035.95,28026.98,28024.26,27999.01,27983.19,28021.54857142857,28042.32
1680836220,28042.32,28042.03,28039.42,28035.95,28026.98,28024.26,27999.01,28029.995714285713,28039.86
1680836280,28039.86,28042.32,28042.03,28039.42,28035.95,28026.98,28024.26,28035.83142857143,28039.95
1680836340,28039.95,28039.86,28042.32,28042.03,28039.42,28035.95,28026.98,28038.072857142863,28032.76
1680836400,28032.76,28039.95,28039.86,28042.32,28042.03,28039.42,28035.95,28038.898571428577,28031.7
1680836460,28031.7,28032.76,28039.95,28039.86,28042.32,28042.03,28039.42,28038.291428571425,28034.53
1680836520,28034.53,28031.7,28032.76,28039.95,28039.86,28042.32,28042.03,28037.592857142856,28034.29
1680836580,28034.29,28034.53,28031.7,28032.76,28039.95,28039.86,28042.32,28036.487142857146,28035.56
1680836640,28035.56,28034.29,28034.53,28031.7,28032.76,28039.95,28039.86,28035.521428571432,28036.57
1680836700,28036.57,28035.56,28034.29,28034.53,28031.7,28032.76,28039.95,28035.051428571434,28030.75
1680836760,28030.75,28036.57,28035.56,28034.29,28034.53,28031.7,28032.76,28033.737142857146,28029.23
1680836820,28029.23,28030.75,28036.57,28035.56,28034.29,28034.53,28031.7,28033.23285714286,28026.14
1680836880,28026.14,28029.23,28030.75,28036.57,28035.56,28034.29,28034.53,28032.43857142857,28025.71
1680836940,28025.71,28026.14,28029.23,28030.75,28036.57,28035.56,28034.29,28031.178571428572,28023.5
1680837000,28023.5,28025.71,28026.14,28029.23,28030.75,28036.57,28035.56,28029.637142857147,28018.12
1680837060,28018.12,28023.5,28025.71,28026.14,28029.23,28030.75,28036.57,28027.145714285714,28026.63
1680837120,28026.63,28018.12,28023.5,28025.71,28026.14,28029.23,28030.75,28025.725714285712,28026.74
1680837180,28026.74,28026.63,28018.12,28023.5,28025.71,28026.14,28029.23,28025.15285714286,28024.31
1680837240,28024.31,28026.74,28026.63,28018.12,28023.5,28025.71,28026.14,28024.449999999993,28022.3
1680837300,28022.3,28024.31,28026.74,28026.63,28018.12,28023.5,28025.71,28023.90142857143,28020.25
1680837360,28020.25,28022.3,28024.31,28026.74,28026.63,28018.12,28023.5,28023.12142857143,28017.46
1680837420,28017.46,28020.25,28022.3,28024.31,28026.74,28026.63,28018.12,28022.25857142857,28015.71
1680837480,28015.71,28017.46,28020.25,28022.3,28024.31,28026.74,28026.63,28021.914285714283,28013.48
1680837540,28013.48,28015.71,28017.46,28020.25,28022.3,28024.31,28026.74,28020.03571428571,28012.85
1680837600,28012.85,28013.48,28015.71,28017.46,28020.25,28022.3,28024.31,28018.051428571427,28021.88
1680837660,28021.88,28012.85,28013.48,28015.71,28017.46,28020.25,28022.3,28017.70428571428,28021.93
1680837720,28021.93,28021.88,28012.85,28013.48,28015.71,28017.46,28020.25,28017.65142857143,28012.28
1680837780,28012.28,28021.93,28021.88,28012.85,28013.48,28015.71,28017.46,28016.512857142858,28003.9
1680837840,28003.9,28012.28,28021.93,28021.88,28012.85,28013.48,28015.71,28014.575714285715,28001.63
1680837900,28001.63,28003.9,28012.28,28021.93,28021.88,28012.85,28013.48,28012.56428571429,28006.05
1680837960,28006.05,28001.63,28003.9,28012.28,28021.93,28021.88,28012.85,28011.50285714286,28003.54
1680838020,28003.54,28006.05,28001.63,28003.9,28012.28,28021.93,28021.88,28010.172857142858,28005.29
1680838080,28005.29,28003.54,28006.05,28001.63,28003.9,28012.28,28021.93,28007.802857142855,28001.2
1680838140,28001.2,28005.29,28003.54,28006.05,28001.63,28003.9,28012.28,28004.841428571428,28002.07
1680838200,28002.07,28001.2,28005.29,28003.54,28006.05,28001.63,28003.9,28003.382857142857,27992.03
