"DateTime","Positive","Neutral","Negative","Price"
"2020-01-27 00:00:00",220,1177,57,8781.69
"2020-01-28 00:00:00",570,3163,168,9149.985
"2020-01-29 00:00:00",1017,5601,246,9331.715
"2020-01-30 00:00:00",823,5177,269,9371.49
"2020-01-31 00:00:00",607,4752,206,9363.615000000002
"2020-02-01 00:00:00",614,4722,200,9376.244999999999
"2020-02-02 00:00:00",892,6009,272,9319.525
"2020-02-03 00:00:00",813,5605,243,9418.244999999999
"2020-02-04 00:00:00",916,6284,250,9218.32
"2020-02-05 00:00:00",1773,13217,692,9456.630000000001
"2020-02-06 00:00:00",1865,13197,533,9693.225
"2020-02-07 00:00:00",1509,11370,400,9790.17
"2020-02-08 00:00:00",1210,10622,360,9800.76
"2020-02-09 00:00:00",1902,12873,519,10021.689999999999
"2020-02-10 00:00:00",1697,12659,518,9973.125
"2020-02-11 00:00:00",1811,14095,718,10043.380000000001
"2020-02-12 00:00:00",1965,13685,798,10362.99
"2020-02-13 00:00:00",1644,13168,624,10290.78
"2020-02-14 00:00:00",1939,13219,562,10245.52
"2020-02-15 00:00:00",1614,12504,766,10089.244999999999
"2020-02-16 00:00:00",1493,14499,691,9838.5
"2020-02-17 00:00:00",1502,12053,755,9720.585
"2020-02-18 00:00:00",1407,9344,482,9946.560000000001
"2020-02-19 00:00:00",2368,10017,486,9820.105
"2020-02-20 00:00:00",2481,8494,474,9550.7
"2020-02-21 00:00:00",1075,7550,351,9674.115
"2020-02-22 00:00:00",1046,6167,358,9649.025
"2020-02-23 00:00:00",927,6959,420,9840.64
"2020-02-24 00:00:00",1169,8595,608,9757.529999999999
"2020-02-25 00:00:00",1303,8928,546,9470.224999999999
"2020-02-26 00:00:00",1409,10492,676,9016.02
"2020-02-27 00:00:00",1330,8758,535,8759.79
"2020-02-28 00:00:00",1404,6456,383,8678.96
"2020-02-29 00:00:00",1146,6732,359,8680.474999999999
"2020-03-01 00:00:00",1011,6905,479,8610.14
"2020-03-02 00:00:00",1168,7973,485,8752.785
"2020-03-03 00:00:00",1042,7554,381,8810.630000000001
"2020-03-04 00:00:00",250,1697,108,8777.365
"2020-03-05 00:00:00",371,1860,100,8976.285
"2020-03-06 00:00:00",761,4604,219,9099.305
"2020-03-07 00:00:00",1092,6803,469,9052.875
"2020-03-08 00:00:00",1265,8061,582,8476.67
"2020-03-09 00:00:00",1698,12605,1086,7932.58
"2020-03-10 00:00:00",1114,8698,554,7961.605
"2020-03-11 00:00:00",1080,8713,512,7806.635
"2020-03-12 00:00:00",2621,16184,1660,6360.1849999999995
"2020-03-13 00:00:00",2444,15759,1574,4966.735000000001
"2020-03-14 00:00:00",1447,8005,645,5367.43
"2020-03-15 00:00:00",1273,7929,674,5537.92
"2020-03-16 00:00:00",1367,10059,862,4909.575000000001
"2020-03-17 00:00:00",1272,8848,644,5256.165
"2020-03-18 00:00:00",1139,9149,624,5237.865
"2020-03-19 00:00:00",1550,10290,730,5843.66
"2020-03-20 00:00:00",1446,10618,636,6311.865
"2020-03-21 00:00:00",1235,7396,409,6168.219999999999
"2020-03-22 00:00:00",1017,7071,424,6082.91
"2020-03-23 00:00:00",1171,8663,585,6159.1
"2020-03-24 00:00:00",1362,8939,465,6632.0650000000005
"2020-03-25 00:00:00",1179,8427,552,6731.645
"2020-03-26 00:00:00",1175,7791,609,6667.865
"2020-03-27 00:00:00",1092,7639,497,6594.75
"2020-03-28 00:00:00",1230,7063,476,6217.895
"2020-03-29 00:00:00",1320,6748,448,6084.58
"2020-03-30 00:00:00",1478,7950,471,6245.87
"2020-03-31 00:00:00",1080,7132,451,6441.135
"2020-04-01 00:00:00",1177,7822,458,6442.02
"2020-04-02 00:00:00",1500,8573,557,6915.45
"2020-04-03 00:00:00",1234,7411,450,6831.415
"2020-04-04 00:00:00",1105,6489,381,6840.75
"2020-04-05 00:00:00",1231,6016,347,6799.73
"2020-04-06 00:00:00",1223,8210,504,7069.48
"2020-04-07 00:00:00",1258,8300,524,7273.515
"2020-04-08 00:00:00",1304,7577,423,7291.905000000001
"2020-04-09 00:00:00",1081,7586,431,7249.445
"2020-04-10 00:00:00",1292,8412,505,7031.235000000001
"2020-04-11 00:00:00",1105,5972,301,6870.895
"2020-04-12 00:00:00",911,1395,64,7001.0650000000005
"2020-04-13 00:00:00",1042,1747,96,6763.05
"2020-04-14 00:00:00",1618,5379,278,6880.360000000001
"2020-04-15 00:00:00",1859,7596,491,6776.139999999999
"2020-04-16 00:00:00",2009,9392,559,6847.094999999999
"2020-04-17 00:00:00",1883,8628,346,7080.48
"2020-04-18 00:00:00",1629,8848,369,7166.39
"2020-04-19 00:00:00",1382,7224,342,7174.585
"2020-04-20 00:00:00",1350,9378,587,6997.65
"2020-04-21 00:00:00",1262,7994,679,6864.145
"2020-04-22 00:00:00",1369,8403,415,6998.4349999999995
"2020-04-23 00:00:00",1488,10175,474,7386.38
"2020-04-24 00:00:00",1362,8367,504,7507.8150000000005
"2020-04-25 00:00:00",1274,7320,383,7577.19
"2020-04-26 00:00:00",1300,7895,438,7601.59
"2020-04-27 00:00:00",1381,8876,495,7715.155
"2020-04-28 00:00:00",1407,8869,427,7731.555
"2020-04-29 00:00:00",2064,14188,775,8342.73
"2020-04-30 00:00:00",2192,13422,672,8938.705
"2020-05-01 00:00:00",1471,9694,496,8848.93
"2020-05-02 00:00:00",1400,8993,502,8891.05
"2020-05-03 00:00:00",1306,7587,384,8966.630000000001
"2020-05-04 00:00:00",2214,9360,530,8753.195
"2020-05-05 00:00:00",3501,9816,499,8950.355
"2020-05-06 00:00:00",2048,10581,530,9166.525
"2020-05-07 00:00:00",2138,14088,586,9553.425
"2020-05-08 00:00:00",2654,12497,460,9885.185
"2020-05-09 00:00:00",1724,9267,423,9718.994999999999
"2020-05-10 00:00:00",2091,12984,822,8892.535
"2020-05-11 00:00:00",3718,16178,828,8696.71
"2020-05-12 00:00:00",2861,10919,515,8758.845000000001
"2020-05-13 00:00:00",2180,9818,490,9107.619999999999
"2020-05-14 00:00:00",1887,10589,477,9600.630000000001
"2020-05-15 00:00:00",1772,10250,511,9495.419999999998
"2020-05-16 00:00:00",2118,9870,513,9404.61
"2020-05-17 00:00:00",1815,8101,457,9609.89
"2020-05-18 00:00:00",1716,9340,433,9710.055
"2020-05-19 00:00:00",1444,8704,480,9681.325
"2020-05-20 00:00:00",1590,10827,729,9578.380000000001
"2020-05-21 00:00:00",1756,10441,613,9189.175
"2020-05-22 00:00:00",2460,9726,462,9100.93
"2020-05-23 00:00:00",1325,7132,435,9206.21
"2020-05-24 00:00:00",1469,8962,567,9007.125
"2020-05-25 00:00:00",1427,8956,447,8808.445
"2020-05-26 00:00:00",1219,8497,394,8858.595000000001
"2020-05-27 00:00:00",1403,9057,427,9021.425
"2020-05-28 00:00:00",1496,9690,383,9365.82
"2020-05-29 00:00:00",1516,8802,431,9473.115
"2020-05-30 00:00:00",1275,7895,322,9538.09
"2020-05-31 00:00:00",2152,6578,301,9551.880000000001
"2020-06-01 00:00:00",1566,9048,450,9890.310000000001
"2020-06-02 00:00:00",2038,10985,697,9788.39
"2020-06-03 00:00:00",1248,8136,473,9537.404999999999
"2020-06-04 00:00:00",2463,13200,875,9674.395
"2020-06-05 00:00:00",4065,20212,1241,9728.865000000002
"2020-06-06 00:00:00",3826,19050,1176,9632.275
"2020-06-07 00:00:00",3791,19609,1297,9608.27
"2020-06-08 00:00:00",2847,14054,937,9729.955
"2020-06-09 00:00:00",3341,17513,882,9744.48
"2020-06-10 00:00:00",4259,25234,1345,9849.515
"2020-06-11 00:00:00",4342,23176,1428,9532.095000000001
"2020-06-12 00:00:00",7054,21307,1994,9393.185
"2020-06-13 00:00:00",7342,19528,1804,9427.945
"2020-06-14 00:00:00",7418,19016,1840,9365.29
"2020-06-15 00:00:00",7979,23761,2161,9204.095000000001
"2020-06-16 00:00:00",5802,16029,1269,9484.25
"2020-06-17 00:00:00",1961,4693,333,9396.56
"2020-06-18 00:00:00",1954,5134,351,9378.11
"2020-06-19 00:00:00",2257,4834,301,9329.785
"2020-06-20 00:00:00",2132,4205,249,9286.57
"2020-06-21 00:00:00",2175,4151,234,9350.375
"2020-06-22 00:00:00",6210,17518,1297,9529.025000000001
"2020-06-23 00:00:00",8717,24603,1758,9650.29
"2020-06-24 00:00:00",7313,22372,1728,9435.215
"2020-06-25 00:00:00",7673,23152,1979,9168.09
"2020-06-26 00:00:00",6199,18076,1497,9165.369999999999
"2020-06-27 00:00:00",5284,14816,1317,9028.805
"2020-06-28 00:00:00",7686,19811,1742,9067.895
"2020-06-29 00:00:00",8665,22822,1826,9130.375
"2020-06-30 00:00:00",8836,26098,2329,9134.880000000001
"2020-07-01 00:00:00",6508,18956,1402,9198.5
"2020-07-02 00:00:00",5723,15593,1569,9111.255000000001
"2020-07-03 00:00:00",7906,21222,1765,9087.215
"2020-07-04 00:00:00",7163,17737,1365,9124.154999999999
"2020-07-05 00:00:00",6321,17786,1700,9044.385
"2020-07-06 00:00:00",8636,29758,1894,9219.865
"2020-07-07 00:00:00",7631,22780,1887,9293.5
"2020-07-08 00:00:00",8522,24287,1995,9354.275
"2020-07-09 00:00:00",7929,21160,1557,9306.52
"2020-07-10 00:00:00",9372,24418,2151,9223.009999999998
"2020-07-11 00:00:00",6682,18699,1523,9245.175
"2020-07-12 00:00:00",6359,18480,1498,9254.56
"2020-07-13 00:00:00",7351,21800,1784,9268.8
"2020-07-14 00:00:00",8266,21717,1786,9194.635
"2020-07-15 00:00:00",10747,36454,6672,9216.73
"2020-07-16 00:00:00",13297,49082,13558,9122.85
"2020-07-17 00:00:00",8077,24385,3466,9131.845000000001
"2020-07-18 00:00:00",6901,19753,2170,9165.93
"2020-07-19 00:00:00",6372,18248,2019,9175.855
"2020-07-20 00:00:00",6964,21592,1938,9180.83
"2020-07-21 00:00:00",7189,23355,1913,9298.9
"2020-07-22 00:00:00",7783,23601,2066,9420.86
"2020-07-23 00:00:00",8078,25135,2890,9566.875
"2020-07-24 00:00:00",6038,15992,1676,9562.51
"2020-07-25 00:00:00",2647,5346,318,9640.74
"2020-07-26 00:00:00",2505,5730,380,9899.814999999999
"2020-07-27 00:00:00",10432,35180,2720,10666.494999999999
"2020-07-28 00:00:00",10345,33899,2519,10922.185
"2020-07-29 00:00:00",8545,27849,1901,11101.285
"2020-07-30 00:00:00",8189,24717,1828,11028.95
"2020-07-31 00:00:00",8193,25784,2908,11217.990000000002
"2020-08-01 00:00:00",11132,28227,2614,11557.875
"2020-08-02 00:00:00",9576,29079,2668,11400.555
"2020-08-03 00:00:00",8701,25628,2161,11210.975
"2020-08-04 00:00:00",8334,26267,2206,11218.115
"2020-08-05 00:00:00",9602,28401,2420,11443.545
"2020-08-06 00:00:00",9435,27776,2178,11743.805
"2020-08-07 00:00:00",9385,24685,1861,11631.52
"2020-08-08 00:00:00",8509,21689,1809,11673.135
"2020-08-09 00:00:00",8817,20916,1607,11668.43
